,Id,Brands,Models,Mileage,Body_Type,Seating,Prices,Engine_CC,Transmission,Fuel_Type,No_Of_Cylinders,price_in_crores
0,0,Citroen, C3,19.3,Hatchback,5, 6.2 Lakh,1198,Manual,Petrol,3,620000.0
1,1,Citroen, eC3,0.0,SUV,5, 11.5 Lakh,0,Automatic,Electric,0,1150000.0
2,2,Citroen, C5 Aircross,10.3,SUV,5, 36.9 Lakh,1997,Automatic,Diesel,4,3690000.0
3,3,Citroen, C3 Facelift,0.0,Hatchback,5, 6.2 Lakh,1198,Manual,Petrol,0,620000.0
4,4,Citroen, Basalt,17.5,Coupe,5, 12.0 Lakh,1998,Manual,Petrol,0,1200000.0
5,5,Rolls-Royce, Wraith,10.2,Coupe,4, 6.22 Crore,6592,Automatic,Petrol,0,62200000.0
6,6,Rolls-Royce, Ghost,6.3,Sedan,5, 6.95 Crore,6750,Automatic,Petrol,12,69500000.0
7,7,Rolls-Royce, Cullinan,9.5,SUV,5, 6.95 Crore,6750,Automatic,Petrol,12,69500000.0
8,8,Rolls-Royce, Dawn,7.0,Convertible,4, 7.06 Crore,6598,Automatic,Petrol,12,70600000.0
9,9,Rolls-Royce, Phantom,9.8,Sedan,5, 8.99 Crore,6749,Automatic,Petrol,0,89900000.0
10,10,Rolls-Royce, New Ghost,0.0,Sedan,5, 7.00 Crore,6750,Automatic,Petrol,0,70000000.0
11,11,Bentley, Bentayga,7.6,SUV,4, 5.00 Crore,3956,Automatic,Petrol,0,50000000.0
12,12,Bentley, Continental,12.9,Coupe,4, 5.23 Crore,3996,Automatic,Petrol,8,52300000.00000001
13,13,Bentley, Flying Spur,10.2,Sedan,4, 5.50 Crore,3993,Automatic,Petrol,8,55000000.0
14,14,Maruti Suzuki, Alto,22.1,Hatchback,5, 3.5 Lakh,796,Manual,Petrol,3,350000.0
15,15,Maruti Suzuki, Alto K10,24.4,Hatchback,5, 4.0 Lakh,998,Manual,Petrol,3,400000.0
16,16,Maruti Suzuki, Alto Tour,22.1,Hatchback,5, 4.2 Lakh,796,Manual,Petrol,3,420000.0
17,17,Maruti Suzuki, S-Presso,24.1,Hatchback,5, 4.3 Lakh,998,Manual,Petrol,3,430000.0
18,18,Maruti Suzuki, Eeco,19.7,Minivan,5, 5.3 Lakh,1197,Manual,Petrol,4,530000.0
19,19,Maruti Suzuki, Celerio,25.0,Hatchback,5, 5.4 Lakh,998,Manual,Petrol,3,540000.0
20,20,Maruti Suzuki, Wagon R tour,25.4,Hatchback,5, 5.5 Lakh,998,Manual,Petrol,3,550000.0
21,21,Maruti Suzuki, Wagon R,23.6,Hatchback,5, 5.5 Lakh,1197,Manual,Petrol,3,550000.0
22,22,Maruti Suzuki, Ignis,20.9,Hatchback,5, 5.8 Lakh,1197,Manual,Petrol,4,580000.0
23,23,Maruti Suzuki, Swift,22.4,Hatchback,5, 6.0 Lakh,1197,Manual,Petrol,4,600000.0
24,24,Maruti Suzuki, Dzire Tour,23.1,Sedan,5, 6.5 Lakh,1197,Manual,Petrol,4,650000.0
25,25,Maruti Suzuki, Dzire,22.4,Sedan,5, 6.6 Lakh,1197,Manual,Petrol,0,660000.0
26,26,Maruti Suzuki, Baleno,22.4,Hatchback,5, 6.7 Lakh,1197,Manual,Petrol,4,670000.0
27,27,Maruti Suzuki, FRONX,20.0,SUV,5, 7.5 Lakh,1197,Manual,Petrol,4,750000.0
28,28,Maruti Suzuki, Brezza,17.4,SUV,5, 8.3 Lakh,1462,Manual,Petrol,4,830000.0000000001
29,29,Maruti Suzuki, Ertiga,20.3,MUV,7, 8.7 Lakh,1462,Manual,Petrol,4,869999.9999999999
30,30,Maruti Suzuki, Ciaz,20.0,Sedan,5, 9.4 Lakh,1462,Manual,Petrol,4,940000.0
31,31,Maruti Suzuki, Ertiga Tour,18.0,MUV,7, 9.8 Lakh,1462,Manual,Petrol,0,980000.0
32,32,Maruti Suzuki, Grand Vitara,19.4,SUV,5, 10.8 Lakh,1462,Manual,Petrol,0,1080000.0
33,33,Maruti Suzuki, XL6,20.3,MUV,6, 11.6 Lakh,1462,Manual,Petrol,4,1160000.0
34,34,Maruti Suzuki, Jimny,16.4,SUV,4, 12.7 Lakh,1462,Manual,Petrol,0,1270000.0
35,35,Maruti Suzuki, Invicto,23.2,MUV,7, 25.2 Lakh,1987,Automatic,Petrol,0,2520000.0
36,36,Maruti Suzuki, New Swift,0.0,Sedan,5, 6.5 Lakh,1197,Manual,Petrol,0,650000.0
37,37,Maruti Suzuki, New Dzire,0.0,Hatchback,5, 6.5 Lakh,1197,Manual,Petrol,0,650000.0
38,38,Maruti Suzuki, Wagon R Flex Fuel,0.0,Hatchback,5, 8.5 Lakh,998,Automatic,Petrol,0,850000.0
39,39,Maruti Suzuki, eVX,0.0,SUV,5, 22.0 Lakh,0,Manual,Electric,0,2200000.0
40,40,BMW, X1,16.4,SUV,5, 45.9 Lakh,1499,Automatic,Petrol,3,4590000.0
41,41,BMW, 3 Series Gran Limousine,15.4,Coupe,5, 60.6 Lakh,1998,Automatic,Petrol,4,6060000.0
42,42,BMW, X3,10.5,SUV,5, 68.5 Lakh,1995,Automatic,Diesel,4,6850000.0
43,43,BMW, 5 Series,17.4,Sedan,5, 68.9 Lakh,1995,Automatic,Diesel,0,6890000.000000001
44,44,BMW, 3 Series,13.0,Sedan,5, 71.5 Lakh,2998,Automatic,Petrol,6,7150000.0
45,45,BMW, 6 Series,13.3,Sedan,5, 72.5 Lakh,1998,Automatic,Petrol,0,7250000.0
46,46,BMW, i4,0.0,Sedan,5, 73.9 Lakh,0,Automatic,Electric,0,7390000.000000001
47,47,BMW, Z4,11.3,Convertible,2, 89.3 Lakh,2998,Automatic,Petrol,0,8930000.0
48,48,BMW, X5,12.0,SUV,5, 95.2 Lakh,2998,Automatic,Petrol,0,9520000.0
49,49,BMW, M2,10.1,Convertible,4, 98.0 Lakh,2993,Automatic,Petrol,6,9800000.0
50,50,BMW, i5,0.0,Sedan,5, 1.20 Crore,0,Automatic,Electric,0,12000000.0
51,51,BMW, X7,11.3,SUV,6, 1.24 Crore,2998,Automatic,Petrol,6,12400000.0
52,52,BMW, M4 Competition,11.9,Coupe,5, 1.48 Crore,2993,Automatic,Petrol,6,14800000.0
53,53,BMW, 7 Series,12.6,Sedan,5, 1.81 Crore,2998,Automatic,Petrol,6,18100000.0
54,54,BMW, i7,0.0,Sedan,5, 1.95 Crore,0,Automatic,Electric,0,19500000.0
55,55,BMW, M8 Coupe Competition,8.7,Coupe,5, 2.44 Crore,4395,Automatic,Petrol,8,24400000.0
56,56,BMW, X8,0.0,SUV,5, 1.00 Crore,4400,Automatic,Petrol,0,10000000.0
57,57,BMW, X6,0.0,SUV,5, 1.39 Crore,2998,Automatic,Petrol,0,13899999.999999998
58,58,BYD, E6,0.0,MUV,5, 29.1 Lakh,0,Automatic,Electric,0,2910000.0
59,59,BYD, Atto 3,0.0,SUV,5, 34.0 Lakh,0,Automatic,Electric,0,3400000.0
60,60,BYD, Seal,0.0,Sedan,5, 41.0 Lakh,0,Automatic,Electric,0,4100000.0
61,61,BYD, Atto 3 Facelift,0.0,SUV,5, 45.0 Lakh,0,Automatic,Electric,0,4500000.0
62,62,Aston Martin, DBX,10.1,SUV,5, 3.82 Crore,3982,Automatic,Diesel,0,38200000.0
63,63,Aston Martin, Vantage,0.0,Coupe,2, 3.99 Crore,3998,Automatic,Petrol,0,39900000.0
64,64,Aston Martin, Vantage 2019-2023,8.6,Coupe,2, 3.00 Crore,3998,Manual,Petrol,8,30000000.0
65,65,Aston Martin, DB11,8.9,Convertible,2, 3.80 Crore,3998,Automatic,Petrol,8,38000000.0
66,66,Ferrari, Roma,8.9,Coupe,2, 3.76 Crore,3855,Automatic,Petrol,0,37600000.0
67,67,Ferrari, 296 GTB,28.0,Coupe,2, 5.40 Crore,2992,Automatic,Petrol,0,54000000.0
68,68,Ferrari, 812,6.0,Convertible,2, 5.75 Crore,6496,Automatic,Petrol,0,57500000.0
69,69,Ferrari, SF90 Stradale,18.0,Coupe,2, 7.50 Crore,3990,Automatic,Petrol,0,75000000.0
70,70,Ferrari, Purosangue,0.0,SUV,4, 5.00 Crore,6494,Automatic,Petrol,0,50000000.0
71,71,Force, Gurkha,12.4,SUV,4, 15.1 Lakh,2596,Manual,Diesel,4,1510000.0
72,72,Force, Gurkha 3-Door,0.0,SUV,4, 15.0 Lakh,2596,Manual,Diesel,0,1500000.0
73,73,Force, Gurkha 5-Door,0.0,SUV,7, 16.0 Lakh,2596,Manual,Diesel,0,1600000.0
74,74,MG, Comet EV,0.0,Hatchback,4, 7.0 Lakh,0,Automatic,Electric,0,700000.0
75,75,MG, Astor,-1.200000000000001,SUV,5, 10.8 Lakh,1498,Manual,Petrol,4,1080000.0
76,76,MG, Hector,-3.299999999999999,SUV,5, 14.0 Lakh,1451,Manual,Petrol,4,1400000.0
77,77,MG, Hector Plus,-3.299999999999999,SUV,7, 18.0 Lakh,1451,Manual,Petrol,4,1800000.0
78,78,MG, ZS EV,0.0,SUV,5, 19.0 Lakh,0,Automatic,Electric,0,1900000.0
79,79,MG, Gloster,-1.3000000000000007,SUV,7, 37.5 Lakh,1996,Automatic,Diesel,4,3750000.0
80,80,MG, 4 EV,0.0,Hatchback,5, 30.0 Lakh,0,Automatic,Electric,0,3000000.0
81,81,MG, Marvel X,0.0,SUV,5, 30.0 Lakh,0,Automatic,Electric,0,3000000.0
82,82,MG, Gloster Facelift,0.0,SUV,7, 40.0 Lakh,1996,Manual,Diesel,0,4000000.0
83,83,Honda, Amaze,18.3,Sedan,5, 7.2 Lakh,1199,Manual,Petrol,4,720000.0
84,84,Honda, Elevate,15.3,SUV,5, 11.6 Lakh,1498,Manual,Petrol,0,1160000.0
85,85,Honda, City,17.8,Sedan,5, 11.7 Lakh,1498,Manual,Petrol,0,1170000.0
86,86,Honda, City Hybrid,27.1,Sedan,5, 18.9 Lakh,1498,Automatic,Petrol,0,1890000.0
87,87,Honda, WR-V,0.0,SUV,5, 9.0 Lakh,1199,Manual,Petrol,0,900000.0
88,88,Jaguar, XF,8.6,Sedan,5, 47.7 Lakh,2179,Automatic,Diesel,0,4770000.0
89,89,Jaguar, F-Type,9.4,Coupe,2, 100.0 Lakh,1997,Automatic,Petrol,0,10000000.0
90,90,Jaguar, I-Pace,0.0,SUV,5, 1.20 Crore,0,Automatic,Electric,0,12000000.0
91,91,Jaguar, E-Pace,8.58,SUV,5, 71.0 Lakh,1998,Automatic,Diesel,0,7100000.0
92,92,Isuzu, D-Max,10.3,Pickup,2, 10.5 Lakh,2499,Manual,Diesel,4,1050000.0
93,93,Isuzu, S-CAB,14.4,Pickup,5, 12.5 Lakh,2499,Manual,Diesel,4,1250000.0
94,94,Isuzu, Hi-Lander,12.4,Pickup,5, 19.5 Lakh,1898,Manual,Diesel,4,1950000.0
95,95,Isuzu, V-Cross,12.4,Pickup,5, 22.1 Lakh,1898,Automatic,Diesel,4,2210000.0
96,96,Isuzu, MU-X,12.3,SUV,7, 35.0 Lakh,1898,Automatic,Diesel,4,3500000.0
97,97,Lexus, ES,22.6,Sedan,5, 61.6 Lakh,2487,Automatic,Petrol,4,6160000.0
98,98,Lexus, NX,0.0,SUV,5, 67.3 Lakh,2487,Automatic,Petrol,4,6730000.0
99,99,Lexus, RX,0.0,SUV,5, 95.8 Lakh,2487,Automatic,Petrol,4,9580000.0
100,100,Lexus, LS,15.4,Sedan,4, 1.96 Crore,3456,Automatic,Petrol,0,19600000.0
101,101,Lexus, LC 500h,12.3,Coupe,4, 2.29 Crore,3456,Automatic,Petrol,6,22900000.0
102,102,Lexus, LX,6.9,SUV,5, 2.84 Crore,3346,Automatic,Diesel,6,28400000.0
103,103,Lexus, UX,0.0,SUV,5, 40.0 Lakh,1998,Automatic,Petrol,0,4000000.0
104,104,Jeep, Compass,14.9,SUV,5, 21.7 Lakh,1956,Manual,Diesel,4,2170000.0
105,105,Jeep, Meridian,14.6,SUV,7, 33.4 Lakh,1956,Manual,Diesel,4,3340000.0
106,106,Jeep, Wrangler,10.6,SUV,5, 67.7 Lakh,1995,Automatic,Petrol,0,6770000.0
107,107,Jeep, Grand Cherokee,8.6,SUV,5, 80.5 Lakh,1995,Automatic,Petrol,4,8050000.0
108,108,Jeep, Renegade,0.0,SUV,5, 10.0 Lakh,1398,Automatic,Petrol,0,1000000.0
109,109,Jeep, Avenger,0.0,SUV,5, 50.0 Lakh,0,Automatic,Electric,0,5000000.0
110,110,Jeep, Wrangler 2021-2023,12.1,SUV,5, 60.6 Lakh,1998,Automatic,Petrol,4,6060000.0
111,111,Skoda, Slavia,18.1,Sedan,5, 11.5 Lakh,999,Manual,Petrol,0,1150000.0
112,112,Skoda, Kushaq,18.1,SUV,5, 11.9 Lakh,999,Manual,Petrol,3,1190000.0
113,113,Skoda, Superb,9.3,Sedan,5, 20.3 Lakh,2771,Automatic,Petrol,0,2030000.0
114,114,Skoda, Kodiaq,12.8,SUV,7, 38.5 Lakh,1984,Automatic,Petrol,4,3850000.0
115,115,Skoda, Sub Four Metre SUV,0.0,SUV,5, 8.0 Lakh,1198,Manual,Petrol,0,800000.0
116,116,Skoda, New Kodiaq,0.0,SUV,7, 35.0 Lakh,1984,Automatic,Petrol,0,3500000.0
117,117,Skoda, Octavia Facelift,0.0,Sedan,5, 35.0 Lakh,1998,Automatic,Petrol,0,3500000.0
118,118,Skoda, Enyaq,0.0,Coupe,5, 50.0 Lakh,0,Automatic,Electric,0,5000000.0
119,119,volkswagen, Virtus,18.1,Sedan,5, 11.6 Lakh,999,Manual,Petrol,3,1160000.0
120,120,volkswagen, Taigun,17.9,SUV,5, 11.7 Lakh,999,Manual,Petrol,3,1170000.0
121,121,volkswagen, Tiguan,12.7,SUV,5, 35.2 Lakh,1984,Automatic,Petrol,4,3520000.0000000005
122,122,volkswagen, ID 4,0.0,SUV,5, 50.0 Lakh,0,Automatic,Electric,0,5000000.0
123,123,Land Rover, Discovery Sport,6.9,SUV,7, 72.4 Lakh,1999,Automatic,Diesel,4,7240000.000000001
124,124,Land Rover, Defender,9.2,SUV,5, 93.5 Lakh,1997,Automatic,Petrol,0,9350000.0
125,125,Land Rover, Range Rover Velar,9.2,SUV,5, 94.3 Lakh,1997,Automatic,Diesel,0,9430000.0
126,126,Land Rover, Discovery,8.7,SUV,7, 95.7 Lakh,1997,Automatic,Petrol,4,9570000.0
127,127,Land Rover, Range Rover Sport,13.2,SUV,5, 1.64 Crore,2997,Automatic,Petrol,6,16399999.999999998
128,128,Land Rover, Range Rover,8.7,SUV,7, 2.39 Crore,2997,Automatic,Diesel,8,23900000.0
129,129,Land Rover, Range Rover Evoque 2018-2023,15.7,SUV,5, 72.1 Lakh,1997,Automatic,Diesel,4,7209999.999999999
130,130,Hyundai, Grand i10 Nios,20.2,Hatchback,5, 5.9 Lakh,1197,Manual,Petrol,4,590000.0
131,131,Hyundai, Exter,19.2,SUV,5, 6.1 Lakh,1197,Manual,Petrol,4,610000.0
132,132,Hyundai, Aura,20.5,Sedan,5, 6.5 Lakh,1197,Manual,Petrol,4,650000.0
133,133,Hyundai, i20,19.6,Hatchback,5, 7.0 Lakh,1197,Manual,Petrol,4,700000.0
134,134,Hyundai, Venue,17.5,SUV,5, 7.9 Lakh,1197,Manual,Petrol,4,790000.0
135,135,Hyundai, i20 N Line,20.0,Hatchback,5, 10.0 Lakh,998,Manual,Petrol,3,1000000.0
136,136,Hyundai, Creta,17.4,SUV,5, 11.0 Lakh,1497,Manual,Petrol,4,1100000.0
137,137,Hyundai, Verna,18.6,Sedan,5, 11.0 Lakh,1497,Manual,Petrol,0,1100000.0
138,138,Hyundai, Venue N Line,18.0,SUV,5, 12.1 Lakh,998,Manual,Petrol,4,1210000.0
139,139,Hyundai, Alcazar,14.5,SUV,7, 16.8 Lakh,1482,Manual,Petrol,4,1680000.0
140,140,Hyundai, Creta N Line,18.0,SUV,5, 16.8 Lakh,1482,Manual,Petrol,4,1680000.0
141,141,Hyundai, Kona Electric,0.0,SUV,5, 23.8 Lakh,0,Automatic,Electric,0,2380000.0
142,142,Hyundai, Tucson,6.16,SUV,5, 29.0 Lakh,1999,Automatic,Petrol,4,2900000.0
143,143,Hyundai, IONIQ 5,0.0,SUV,5, 46.0 Lakh,0,Automatic,Electric,0,4600000.0
144,144,Hyundai, Stargazer,0.0,MUV,6, 10.0 Lakh,1499,Manual,Petrol,0,1000000.0
145,145,Hyundai, Alcazar Facelift,0.0,SUV,7, 18.0 Lakh,1497,Manual,Diesel,0,1800000.0
146,146,Hyundai, Kona Electric 2024,0.0,SUV,5, 25.0 Lakh,0,Automatic,Electric,0,2500000.0
147,147,Hyundai, Palisade,0.0,SUV,7, 40.0 Lakh,3800,Automatic,Diesel,0,4000000.0
148,148,Hyundai, New Santa Fe,13.0,SUV,7, 45.0 Lakh,2199,Manual,Diesel,0,4500000.0
